"zip","name","empflag","emp_nf","emp","qp1_nf","qp1","ap_nf","ap","est","city","stabbr","cty_name"
"07544","PATERSON, NJ",,"H",39,"G",224,"G",917,5,"PATERSON","NJ","PASSAIC"
"07601","HACKENSACK, NJ",,"G",41216,"H",536934,"H",2353587,2277,"HACKENSACK","NJ","BERGEN"
"07602","HACKENSACK, NJ",,"G",593,"G",5717,"G",26622,17,"HACKENSACK","NJ","BERGEN"
"07603","BOGOTA, NJ",,"H",877,"H",7636,"H",34246,152,"BOGOTA","NJ","BERGEN"
"07604","HASBROUCK HEIGHTS, NJ",,"H",6519,"G",53797,"G",229379,392,"HASBROUCK HEIGHTS","NJ","BERGEN"
"07605","LEONIA, NJ",,"G",2102,"G",23558,"G",95314,222,"LEONIA","NJ","BERGEN"
"07606","SOUTH HACKENSACK, NJ",,"G",5010,"G",70774,"G",308439,240,"SOUTH HACKENSACK","NJ","BERGEN"
"07607","MAYWOOD, NJ",,"G",2724,"G",35979,"G",154488,251,"MAYWOOD","NJ","BERGEN"
"07608","TETERBORO, NJ",,"H",7908,"H",127918,"H",531360,167,"TETERBORO","NJ","BERGEN"
"07620","ALPINE, NJ",,"G",305,"H",2484,"G",13497,45,"ALPINE","NJ","BERGEN"
"07621","BERGENFIELD, NJ",,"G",3402,"G",26646,"G",118694,521,"BERGENFIELD","NJ","BERGEN"
"07624","CLOSTER, NJ",,"G",2766,"G",26091,"G",121231,426,"CLOSTER","NJ","BERGEN"
"07626","CRESSKILL, NJ",,"G",1668,"H",26159,"G",82699,249,"CRESSKILL","NJ","BERGEN"
"07627","DEMAREST, NJ",,"H",383,"H",3543,"H",17723,81,"DEMAREST","NJ","BERGEN"
"07628","DUMONT, NJ",,"G",1668,"G",12916,"G",57315,296,"DUMONT","NJ","BERGEN"
"07630","EMERSON, NJ",,"G",2416,"G",20697,"G",101276,211,"EMERSON","NJ","BERGEN"
"07631","ENGLEWOOD, NJ",,"G",15180,"G",195731,"G",865501,1163,"ENGLEWOOD","NJ","BERGEN"
"07632","ENGLEWOOD CLIFFS, NJ",,"H",12761,"H",398802,"H",1289586,741,"ENGLEWOOD CLIFFS","NJ","BERGEN"
